"Study ID","dateFrom","dateTo","variant","sumcount","freq","per","source","Outbreak_count_total"
"67898_Plais 2022","2020-03-12","2021-03-08","Gamma",2,0.000144602704070566,"0%","LAPIS",NA
"67898_Plais 2022","2020-03-12","2021-03-08","Delta",22,0.00159062974477623,"0%","LAPIS",NA
"67898_Plais 2022","2020-03-12","2021-03-08","Epsilon",5,0.000361506760176415,"0%","LAPIS",NA
"67898_Plais 2022","2020-03-12","2021-03-08","Omicron_BA",2,0.000144602704070566,"0%","LAPIS",NA
"66861_Chavez-MacGregor 2022","2020-01-01","2021-01-28","Early-clades",153132,0.926119457144931,"93%","LAPIS",NA
"66861_Chavez-MacGregor 2022","2020-01-01","2021-01-28","Beta",31,0.000187483368410867,"0%","LAPIS",NA
"66861_Chavez-MacGregor 2022","2020-01-01","2021-01-28","Alpha",1119,0.0067675448145729,"1%","LAPIS",NA
"66861_Chavez-MacGregor 2022","2020-01-01","2021-01-28","Gamma",19,0.00011490916128408,"0%","LAPIS",NA
"66861_Chavez-MacGregor 2022","2020-01-01","2021-01-28","Delta",76,0.000459636645136319,"0%","LAPIS",NA
"66861_Chavez-MacGregor 2022","2020-01-01","2021-01-28","Epsilon",10426,0.0630548902919902,"6%","LAPIS",NA
"66861_Chavez-MacGregor 2022","2020-01-01","2021-01-28","Eta",20,0.000120957011877979,"0%","LAPIS",NA
"66861_Chavez-MacGregor 2022","2020-01-01","2021-01-28","Iota",351,0.00212279555845852,"0%","LAPIS",NA
"66861_Chavez-MacGregor 2022","2020-01-01","2021-01-28","Lambda",4,2.41914023755957e-05,"0%","LAPIS",NA
"66861_Chavez-MacGregor 2022","2020-01-01","2021-01-28","Omicron_BA",145,0.000876938336115345,"0%","LAPIS",NA
"66861_Chavez-MacGregor 2022","2020-01-01","2021-01-28","Omicron_XBB",21,0.000127004862471878,"0%","LAPIS",NA
"66861_Chavez-MacGregor 2022","2020-01-01","2021-01-28","Omicron_JN",3,1.81435517816968e-05,"0%","LAPIS",NA
"66861_Chavez-MacGregor 2022","2020-01-01","2021-01-28",NA,1,6.04785059389893e-06,"0%","LAPIS",NA
"68083_Kim 2022","2020-06-01","2020-12-31","Early-clades",93078,0.956372528872632,"96%","LAPIS",NA
